Key,lang-en.json,lang-ht.json,lang-ru.json,lang-zh-hans.json,lang-ko.json,lang-vi.json,lang-es.json,lang-zh-hant.json
qualifyingChildren.a.relationship,Error: A child's relationship to you is  required to continue.,Erè: Relasyon yon timoun avèk ou poko fini.,Ошибка: для продолжения необходимо указать статус связи ребенка с вами.,错误：必须回答关于相关子女与您的关系的问题，方可继续操作。,오류: 계속하려면 자녀와 귀하의 관계가 필요합니다.,Lỗi: Cần phải có mối quan hệ của trẻ với quý vị để tiếp tục.,Error: Se necesita el parentesco del hijo con usted para continuar,錯誤：必須填寫子女與您的關係才能繼續。
qualifyingChildren.a.student,Error: A response to the question about whether a child was a student is required to continue.,Erè: Yon repons sou kesyon si yon timoun te yon elèv poko fini.,"Ошибка: для продолжения требуется ответ на вопрос о том, являлся ли ребенок студентом.",错误：必须回答关于相关子女是否为学生的问题，方可继续操作。,오류: 계속하려면 자녀가 학생인지 묻는 질문에 답을 해야 합니다.,Lỗi: Cần phải trả lời câu hỏi về việc liệu trẻ có phải là học sinh/sinh viên hay không để tiếp tục.,Error: Se necesita la respuesta a la pregunta sobre si un hijo fue un estudiante para continuar.,錯誤：必須回答有關子女是否是學生的問題才能繼續。
qualifyingChildren.a.us50Percent,Error: A response to the main home location question is required to continue.,Erè: Yon repons pou kesyon kote kay prensipal la poko fini.,Ошибка: для продолжения требуется ответ на вопрос о расположение основного жилья.,错误：必须回答关于主要居所的问题，方可继续操作。,오류: 계속하려면 주거지 장소에 대한 질문에 답해야 합니다.,Lỗi: Cần phải trả lời câu hỏi về vị trí nhà chính để tiếp tục.,Error: Se necesita la respuesta a la pregunta sobre la ubicación del hogar principal para continuar.,錯誤：必須回答主要住所地點問題才能繼續。
qualifyingChildren.a.validSSN,Error: A response to the child's social security number question is required to continue.,Erè: Yon repons pou kesyon sou nimewo sekirite sosyal timoun nan oblije kontinye.,Ошибка: для продолжения требуется ответ на вопрос о номере социального страхования ребенка.,错误：必须回答关于您的子女的社会安全号码的问题，方可继续操作。,오류: 자녀의 사회 보장 번호를 묻는 질문에 답을 해야 계속할 수 있습니다.,Lỗi: Cần phải trả lời câu hỏi về số an sinh xã hội của trẻ để tiếp tục.,Error: Se necesita la respuesta a la pregunta sobre el número de seguro social de su hijo para continuar.,錯誤：必須回答子女的社會安全號碼問題才能繼續。
qualifyingChildren.a.younger,Error: A response to the question about whether a child is younger than you is required to continue.,Erè: Yon repons sou kesyon sou si yon timoun pi piti pase ou poko fini.,"Ошибка: для продолжения требуется ответ на вопрос о том, является ли ребенок младше вас.",错误：必须回答关于相关子女是否比您年龄小的问题，方可继续操作。,오류: 계속하려면 자녀가 자신보다 어린가에 대한 질문에 답을 해야 합니다.,Lỗi: Cần phải trả lời câu hỏi về việc liệu trẻ có ít tuổi hơn quý vị hay không để tiếp tục.,Error: Se necesita la respuesta a la pregunta sobre si un hijo es más joven que usted para continuar.,錯誤：必須回答有關子女是否比您小的問題才能繼續。
qualifyingChildren.button.incompleteChildNext,Go To Next Step,Ale nan pwochen etap,Перейти к следующему шагу,转到下一步,다음 단계로 이동,Đi Tới Bước Tiếp Theo,Ir al siguiente paso,轉到下一步
qualifyingChildren.button.removeChild,Remove child,Retire timoun nan,Удалить ребенка,刪除孩子,자녀 제외,Xóa trẻ,Quitar hijo,刪除孩子
qualifyingChildren.button.removeChildBttRemoval,Remove Child,Retire Timoun,Удалить ребенка,刪除孩子,자녀 제외,Xóa Trẻ,Quitar hijo,刪除孩子
qualifyingChildren.h.childSuccessfullyRemoved,Child successfully removed,Timoun nan retire avèk siksè,Ребенок успешно удален,成功刪除孩子,자녀를 성공적으로 제외했습니다,Đã xóa trẻ thành công,Hijo eliminado con éxito,成功移除此子女
qualifyingChildren.h2.anotherChildAccordionTitle,Add another child,Ajoute yon lòt timoun,Добавить еще одного ребенка,添加另一个孩子,다른 자녀 추가,Thêm một trẻ khác,Añadir otro hijo,增加另一個孩子
qualifyingChildren.h2.childAccordionTitle,Add a child,Ajoute yon timoun,Добавить ребенка,添加一个孩子,자녀 추가,Thêm một trẻ,Añadir un hijo,增加一個孩子
qualifyingChildren.h2.incompleteChildHeader,You have not completed adding a child. What would you like to do?,Ou poko fin ajoute yon timoun. Kisa ou ta renmen fè?,Вы не завершили процесс добавления ребенка. Что бы вы хотели сделать?,您尚未完成添加子女名字的操作。你想做什么？,자녀 추가를 완료하지 않았습니다. 어떻게 하시겠습니까?,Quý vị chưa hoàn tất việc thêm trẻ. Quý vị muốn làm gì?,No ha terminado de añadir un hijo. ¿Qué desea hacer?,您尚未完成新增子女名字。你想幹什麼？
qualifyingChildren.h2.maxChildernHeader,Editing not allowed since you have reached the maximum number of qualifying children,Yo pa pèmèt modifikasyon depi ou rive nan kantite maksimòm timoun ki kalifye yo,"Редактирование не разрешено, так как вы достигли максимального числа соответствующих установленным требованиям детей",不允许编辑，因为您的合格子女人数已达到上限,자격을 갖춘 최대 자녀 수에 도달했으므로 수정할 수 없습니다,Không được phép chỉnh sửa vì quý vị đã đạt số lượng trẻ đủ điều kiện tối đa,Edición no permitida por haber alcanzado el número máximo de hijos calificados,不允許編輯，因為您已達到合格子女的最大數量
qualifyingChildren.h2.numOfDependentsTT,Valid Social Security Number for Qualifying Children,Nimewo sekirite sosyal valab pou timoun ki elijib yo,"Действительный номер социального страхования для детей, отвечающих требованиям",符合条件的孩子的有效社会安全号码,적격 자녀에 대한 유효한 사회 보장 번호,Số An Sinh Xã Hội Hợp Lệ cho Trẻ Đủ Điều Kiện,Número de seguro social válido para el hijo que reúne los requisitos,合格子女的有效社會安全號碼
qualifyingChildren.h2.removeChildHeader,Remove :name?,Retire :name?,Удалить :name?,删除 :name?,:name을(를) 제외하시겠습니까?,Xóa :name?,¿Quitar :name?,刪除 :name？
qualifyingChildren.h2.removeChildHeader2,Remove child?,Retire Timoun?,Удалить ребенка?,刪除孩子？,자녀를 제외하시겠습니까?,Xóa trẻ?,¿Quitar hijo?,刪除孩子？
qualifyingChildren.h2.validSSNTT,Valid Social Security Number for Qualifying Children,Nimewo sekirite sosyal valab pou timoun ki elijib yo,"Действительный номер социального страхования для детей, отвечающих требованиям",符合条件的子女的有效社会安全号码,적격 자녀를 위한 유효한 사회보장 번호,Số An Sinh Xã Hội Hợp Lệ cho Trẻ Đủ Điều Kiện,Número de seguro social válido para los hijos calificados,合格子女的有效社會安全號碼
qualifyingChildren.li.childDisqualifiersAge1,"You or your spouse must be 18 and a former foster youth or homeless youth, or 19 and over and not a specified student under the age of 24, or","Ou menm oubyen konjwen ou dwe gen 18 an epi yon ansyen jèn adoptif oubyen jèn ki san kay, oubyen 19 an oubyen plis epi li pa dwe yon etidyan espesifif ki poko gen 24 an, oubyen","Вы или ваш супруг/супруга должны быть моложе 18 лет и являться бывшей приемной или бездомной молодежью, или 19 лет и старше и не являться студентом в возрасте до 24 лет, или",您或您的配偶必须年满 18 岁，并且是曾被领养青少年或无家可归青少年，或者是必须年满 19 岁，以及不是未满 24 岁的特定学生，或者,귀하와 귀하의 배우자는 반드시 18세이고 전 위탁 청년 혹은 노숙 청년 혹은 19세 이상이며 특화 학생이 아닌 24세 미만 이어야 합니다.,"Quý vị hoặc người phối ngẫu của mình phải đủ 18 tuổi và là một thanh thiếu niên từng được nhận nuôi tạm hoặc thanh thiếu niên vô gia cư, hoặc từ 19 tuổi trở lên và không phải học sinh/sinh viên được xác định dưới 24 tuổi, hoặc","Usted o su cónyuge debe tener 18 años y debe haber sido un joven que estuvo en una casa de crianza o un joven sin hogar, o 19 años y más y no ser un alumno especificado de menos de 24 años o",您或您的配偶必須年滿 18 歲並且是前寄養青少年或無家可歸的青少年，或 19 歲及以上，並且不是 24 歲以下的特定學生，或
